mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_border_count,param_colsample_bylevel,param_depth,param_grow_policy,param_iterations,param_l2_leaf_reg,param_learning_rate,param_min_data_in_leaf,param_random_strength,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,total_hpo_time_s,final_model_training_time_s
54.01010904312134,9.579761902878786,0.2456874847412109,0.0272362275658587,152,0.9389628960580698,8,SymmetricTree,520,1.7800932022121825,0.0283991780504303,11,0.5592488919658671,0.8001125833417065,"{'border_count': 152, 'colsample_bylevel': np.float64(0.9389628960580698), 'depth': 8, 'grow_policy': 'SymmetricTree', 'iterations': 520, 'l2_leaf_reg': np.float64(1.7800932022121825), 'learning_rate': np.float64(0.028399178050430397), 'min_data_in_leaf': 11, 'random_strength': np.float64(0.5592488919658671), 'subsample': np.float64(0.8001125833417065)}",-0.2504210958050231,-0.2618577408320646,-0.2791796271462057,-0.2838403070129063,-0.2479433427246162,-0.2646484227041631,0.0146201830288538,11,1215.4231193065643,5.797320127487183
53.43279776573181,5.356258993527734,0.0995121479034423,0.0571024653437551,153,0.9124217733388136,11,SymmetricTree,1269,4.609993861334123,0.1457829063523625,2,0.2818249672071006,0.7550213529560301,"{'border_count': 153, 'colsample_bylevel': np.float64(0.9124217733388136), 'depth': 11, 'grow_policy': 'SymmetricTree', 'iterations': 1269, 'l2_leaf_reg': np.float64(4.609993861334123), 'learning_rate': np.float64(0.14578290635236252), 'min_data_in_leaf': 2, 'random_strength': np.float64(0.2818249672071006), 'subsample': np.float64(0.7550213529560301)}",-0.2551020742920897,-0.2723924816635082,-0.2833704277590852,-0.2949645468903663,-0.2626600771278685,-0.2736979215465836,0.0142490031072791,91,1215.4231193065643,5.797320127487183
74.9646502494812,4.327051418863189,0.0474997043609619,0.0328733984943207,253,0.8834959481464842,10,SymmetricTree,1060,3.6238733012919457,0.0649791457572883,28,1.0737555188414591,0.7698314021290912,"{'border_count': 253, 'colsample_bylevel': np.float64(0.8834959481464842), 'depth': 10, 'grow_policy': 'SymmetricTree', 'iterations': 1060, 'l2_leaf_reg': np.float64(3.6238733012919457), 'learning_rate': np.float64(0.06497914575728832), 'min_data_in_leaf': 28, 'random_strength': np.float64(1.0737555188414591), 'subsample': np.float64(0.7698314021290912)}",-0.2497476437984836,-0.2670167317624992,-0.276412011682042,-0.2897870118765439,-0.2558537492405192,-0.2677634296720176,0.0143304063465986,44,1215.4231193065643,5.797320127487183
42.05588784217834,12.493460474825262,0.077973461151123,0.0661001835951807,239,0.935552788417904,8,Lossguide,743,3.962072844310213,0.0119675619079996,7,0.2705241236872915,0.7195154778955838,"{'border_count': 239, 'colsample_bylevel': np.float64(0.935552788417904), 'depth': 8, 'grow_policy': 'Lossguide', 'iterations': 743, 'l2_leaf_reg': np.float64(3.9620728443102124), 'learning_rate': np.float64(0.01196756190799966), 'min_data_in_leaf': 7, 'random_strength': np.float64(0.2705241236872915), 'subsample': np.float64(0.7195154778955838)}",-0.2495265092206616,-0.2620241449180637,-0.275763605957504,-0.279460443818143,-0.2493469133847989,-0.2632243234598342,0.0126688457540499,3,1215.4231193065643,5.797320127487183
25.26467056274414,6.387104450074276,0.0199914455413818,0.0049599593130655,181,0.9826605267054558,11,Depthwise,1276,1.079831261101071,0.0396340738433223,28,0.5401524937396013,0.7366114704534336,"{'border_count': 181, 'colsample_bylevel': np.float64(0.9826605267054558), 'depth': 11, 'grow_policy': 'Depthwise', 'iterations': 1276, 'l2_leaf_reg': np.float64(1.079831261101071), 'learning_rate': np.float64(0.03963407384332235), 'min_data_in_leaf': 28, 'random_strength': np.float64(0.5401524937396013), 'subsample': np.float64(0.7366114704534336)}",-0.2520735102420969,-0.2635206528306586,-0.2789092240721026,-0.2849545701525511,-0.2574612714718374,-0.2673838457538493,0.0125646553052621,37,1215.4231193065643,5.797320127487183
10.214090633392336,0.7805398023852573,0.0224527359008789,0.0114214841563964,57,0.7103165563345655,11,SymmetricTree,1431,1.9111804389403115,0.1183042115476478,6,0.3079416628681888,0.8703100983459974,"{'border_count': 57, 'colsample_bylevel': np.float64(0.7103165563345655), 'depth': 11, 'grow_policy': 'SymmetricTree', 'iterations': 1431, 'l2_leaf_reg': np.float64(1.9111804389403115), 'learning_rate': np.float64(0.11830421154764786), 'min_data_in_leaf': 6, 'random_strength': np.float64(0.3079416628681888), 'subsample': np.float64(0.8703100983459974)}",-0.2560670382528662,-0.2667219039030196,-0.2800895220767014,-0.2987372319657032,-0.2592513329136648,-0.2721734058223911,0.0156487422730637,84,1215.4231193065643,5.797320127487183
11.597405338287354,1.2307992440145334,0.0145873069763183,0.0037965774613988,240,0.9526854323784996,9,Depthwise,701,5.474136752138244,0.0946849968216627,48,0.4265407688058353,0.8711331923216198,"{'border_count': 240, 'colsample_bylevel': np.float64(0.9526854323784995), 'depth': 9, 'grow_policy': 'Depthwise', 'iterations': 701, 'l2_leaf_reg': np.float64(5.474136752138244), 'learning_rate': np.float64(0.09468499682166277), 'min_data_in_leaf': 48, 'random_strength': np.float64(0.42654076880583536), 'subsample': np.float64(0.8711331923216198)}",-0.2510493369072745,-0.2617761628082773,-0.2806505055599845,-0.2868400200806775,-0.2566139452394809,-0.2673859941191389,0.0139197701355774,38,1215.4231193065643,5.797320127487183
17.926806688308716,1.259064534581924,0.018418550491333,0.0027961519046672,239,0.7975990992289792,10,Depthwise,1378,5.143687545759647,0.0585129990040383,45,0.2409242249747626,0.940659094226212,"{'border_count': 239, 'colsample_bylevel': np.float64(0.7975990992289792), 'depth': 10, 'grow_policy': 'Depthwise', 'iterations': 1378, 'l2_leaf_reg': np.float64(5.143687545759647), 'learning_rate': np.float64(0.05851299900403839), 'min_data_in_leaf': 45, 'random_strength': np.float64(0.24092422497476265), 'subsample': np.float64(0.9406590942262119)}",-0.2496537133090091,-0.2675721830691081,-0.2795016115018122,-0.2853411697105965,-0.2579302446257527,-0.2679997844432558,0.0131997914363036,46,1215.4231193065643,5.797320127487183
3.275412750244141,0.652171377363762,0.0112063407897949,0.0021220295559018,114,0.7046909220223582,6,SymmetricTree,1147,1.027610585618012,0.1273192142682251,17,0.81134195274865,0.9370526621593616,"{'border_count': 114, 'colsample_bylevel': np.float64(0.7046909220223582), 'depth': 6, 'grow_policy': 'SymmetricTree', 'iterations': 1147, 'l2_leaf_reg': np.float64(1.027610585618012), 'learning_rate': np.float64(0.12731921426822512), 'min_data_in_leaf': 17, 'random_strength': np.float64(0.81134195274865), 'subsample': np.float64(0.9370526621593617)}",-0.2566102560996356,-0.2634040293052485,-0.2835930053472766,-0.2877021842511806,-0.2574447037883879,-0.2697508357583459,0.0132533334797094,63,1215.4231193065643,5.797320127487183
6.252677488327026,1.4922750141752217,0.0151442527770996,0.0028399423201585,172,0.722213395520227,7,SymmetricTree,527,5.315517129377968,0.0984947190241336,34,0.1954101164904113,0.8112454756594799,"{'border_count': 172, 'colsample_bylevel': np.float64(0.722213395520227), 'depth': 7, 'grow_policy': 'SymmetricTree', 'iterations': 527, 'l2_leaf_reg': np.float64(5.315517129377968), 'learning_rate': np.float64(0.09849471902413369), 'min_data_in_leaf': 34, 'random_strength': np.float64(0.19541011649041132), 'subsample': np.float64(0.8112454756594799)}",-0.2519770064152092,-0.2635950729486772,-0.276165023976337,-0.2875319019160265,-0.2589544283035422,-0.2676446867119584,0.0126924674070066,41,1215.4231193065643,5.797320127487183
8.229903888702392,1.9634081494821376,0.014807653427124,0.001864580671773,111,0.7975549966080241,8,Depthwise,1486,3.806217129238506,0.0624390312130684,47,0.813244787222995,0.9282355145850693,"{'border_count': 111, 'colsample_bylevel': np.float64(0.7975549966080241), 'depth': 8, 'grow_policy': 'Depthwise', 'iterations': 1486, 'l2_leaf_reg': np.float64(3.806217129238506), 'learning_rate': np.float64(0.06243903121306847), 'min_data_in_leaf': 47, 'random_strength': np.float64(0.813244787222995), 'subsample': np.float64(0.9282355145850691)}",-0.2503226901784443,-0.2702137473950002,-0.2816840332797291,-0.282662875467904,-0.2557231447802792,-0.2681212982202713,0.0131930910073334,50,1215.4231193065643,5.797320127487183
6.622430562973023,1.0172012274947757,0.0134599685668945,0.0020046628697247,191,0.8481386789093172,6,Lossguide,514,1.5544541040591566,0.0709004752798655,32,0.7364104112637804,0.794306794322898,"{'border_count': 191, 'colsample_bylevel': np.float64(0.8481386789093172), 'depth': 6, 'grow_policy': 'Lossguide', 'iterations': 514, 'l2_leaf_reg': np.float64(1.5544541040591566), 'learning_rate': np.float64(0.07090047527986552), 'min_data_in_leaf': 32, 'random_strength': np.float64(0.7364104112637804), 'subsample': np.float64(0.794306794322898)}",-0.2526428797555537,-0.2639384578574045,-0.2743190598549268,-0.2843009242883424,-0.2540700873617149,-0.2658542818235885,0.0120748486576869,23,1215.4231193065643,5.797320127487183
6.985347270965576,1.2434203245621096,0.0176044464111328,0.0013104724738635,145,0.9086548259278382,10,Lossguide,730,3.0519146151781484,0.1183326707814573,36,1.0428535705579811,0.8796596399465607,"{'border_count': 145, 'colsample_bylevel': np.float64(0.9086548259278382), 'depth': 10, 'grow_policy': 'Lossguide', 'iterations': 730, 'l2_leaf_reg': np.float64(3.0519146151781484), 'learning_rate': np.float64(0.1183326707814573), 'min_data_in_leaf': 36, 'random_strength': np.float64(1.0428535705579811), 'subsample': np.float64(0.8796596399465607)}",-0.2641417737397892,-0.2720388859198353,-0.2807083290700943,-0.285283796952382,-0.2554196718461067,-0.2715184915056415,0.0108424675999209,77,1215.4231193065643,5.797320127487183
4.648984098434449,0.675513185932041,0.012311840057373,0.0020199834014335,135,0.9641403517045772,7,SymmetricTree,1073,4.167018782552118,0.1357190885281576,28,0.3184404372168335,0.8249529843611099,"{'border_count': 135, 'colsample_bylevel': np.float64(0.9641403517045772), 'depth': 7, 'grow_policy': 'SymmetricTree', 'iterations': 1073, 'l2_leaf_reg': np.float64(4.167018782552118), 'learning_rate': np.float64(0.13571908852815764), 'min_data_in_leaf': 28, 'random_strength': np.float64(0.31844043721683357), 'subsample': np.float64(0.8249529843611099)}",-0.2507412613038342,-0.2711979566731192,-0.2847192817558683,-0.2925662644791689,-0.2540926098667723,-0.2706634748157526,0.0164260264885049,70,1215.4231193065643,5.797320127487183
8.82823829650879,0.9250326365061528,0.0340777397155761,0.0251220754090695,239,0.8618026725746952,7,Lossguide,847,2.781489190384874,0.1410242662318631,1,0.3279351625419416,0.8281323365878769,"{'border_count': 239, 'colsample_bylevel': np.float64(0.8618026725746952), 'depth': 7, 'grow_policy': 'Lossguide', 'iterations': 847, 'l2_leaf_reg': np.float64(2.7814891903848746), 'learning_rate': np.float64(0.1410242662318631), 'min_data_in_leaf': 1, 'random_strength': np.float64(0.32793516254194166), 'subsample': np.float64(0.8281323365878769)}",-0.2528215419131933,-0.274296662503744,-0.278900292924514,-0.2861218037992322,-0.259339023367157,-0.2702958649015681,0.0123766493475453,66,1215.4231193065643,5.797320127487183
11.018100690841674,4.494495129090862,0.1469909191131591,0.0792698805253345,165,0.8057706569002506,8,Lossguide,1209,3.553736512887829,0.0676116504723168,37,0.7924360328902703,0.7808237001395564,"{'border_count': 165, 'colsample_bylevel': np.float64(0.8057706569002506), 'depth': 8, 'grow_policy': 'Lossguide', 'iterations': 1209, 'l2_leaf_reg': np.float64(3.553736512887829), 'learning_rate': np.float64(0.06761165047231685), 'min_data_in_leaf': 37, 'random_strength': np.float64(0.7924360328902703), 'subsample': np.float64(0.7808237001395564)}",-0.254360089875331,-0.2650974245899696,-0.2745705390303884,-0.2832586332739454,-0.2534699296856553,-0.2661513232910579,0.0115282685623423,27,1215.4231193065643,5.797320127487183
69.6600263595581,6.276642002684386,0.0212960243225097,0.0196406597962415,201,0.9828729111737556,11,SymmetricTree,1191,2.81814801189647,0.1507673124081441,12,0.3517822958253641,0.8491745517677156,"{'border_count': 201, 'colsample_bylevel': np.float64(0.9828729111737557), 'depth': 11, 'grow_policy': 'SymmetricTree', 'iterations': 1191, 'l2_leaf_reg': np.float64(2.81814801189647), 'learning_rate': np.float64(0.1507673124081441), 'min_data_in_leaf': 12, 'random_strength': np.float64(0.35178229582536413), 'subsample': np.float64(0.8491745517677156)}",-0.2580815864169866,-0.2705595791094118,-0.2829790105027855,-0.2946806723049892,-0.2592671934451466,-0.2731136083558639,0.0140475788785719,87,1215.4231193065643,5.797320127487183
10.903336811065676,3.696506357033019,0.1396215438842773,0.0504141932738846,162,0.74442607898602,6,Lossguide,612,5.883074779163264,0.0666555519977347,23,0.3786464642366114,0.972479765789996,"{'border_count': 162, 'colsample_bylevel': np.float64(0.74442607898602), 'depth': 6, 'grow_policy': 'Lossguide', 'iterations': 612, 'l2_leaf_reg': np.float64(5.883074779163264), 'learning_rate': np.float64(0.0666555519977347), 'min_data_in_leaf': 23, 'random_strength': np.float64(0.3786464642366114), 'subsample': np.float64(0.9724797657899961)}",-0.2505393407983566,-0.2632523040429448,-0.2780778981090638,-0.2813304754842585,-0.2520918437482549,-0.2650583724365757,0.0127787668834681,15,1215.4231193065643,5.797320127487183
31.24226031303406,6.939951823374797,0.0585231304168701,0.043825767248408,196,0.90421163546643,10,Depthwise,1171,3.76446544535664,0.093904508581909,11,0.4696544560614044,0.7726479814832277,"{'border_count': 196, 'colsample_bylevel': np.float64(0.90421163546643), 'depth': 10, 'grow_policy': 'Depthwise', 'iterations': 1171, 'l2_leaf_reg': np.float64(3.76446544535664), 'learning_rate': np.float64(0.09390450858190903), 'min_data_in_leaf': 11, 'random_strength': np.float64(0.46965445606140444), 'subsample': np.float64(0.7726479814832277)}",-0.2596597125497622,-0.270605936741996,-0.2910033822232282,-0.2925473774779764,-0.2589594409451196,-0.2745551699876165,0.0146626128367498,94,1215.4231193065643,5.797320127487183
12.209307098388672,1.3425355126239324,0.0169214248657226,0.0031046657132383,87,0.810334939815776,9,Depthwise,697,2.994122212222765,0.1274647809829076,16,0.935302495589238,0.7962340194915207,"{'border_count': 87, 'colsample_bylevel': np.float64(0.810334939815776), 'depth': 9, 'grow_policy': 'Depthwise', 'iterations': 697, 'l2_leaf_reg': np.float64(2.9941222122227655), 'learning_rate': np.float64(0.1274647809829076), 'min_data_in_leaf': 16, 'random_strength': np.float64(0.935302495589238), 'subsample': np.float64(0.7962340194915207)}",-0.2624811039375938,-0.271486578643738,-0.286276350582557,-0.2944724696508011,-0.2617975615648735,-0.2753028128759127,0.0130326202081874,96,1215.4231193065643,5.797320127487183
7.044660854339599,2.127865956909441,0.0250247001647949,0.0073247860344849,119,0.9087438420372644,8,Lossguide,1431,1.0829391446392806,0.0818139587448921,19,0.4486659872917293,0.7288529653274262,"{'border_count': 119, 'colsample_bylevel': np.float64(0.9087438420372645), 'depth': 8, 'grow_policy': 'Lossguide', 'iterations': 1431, 'l2_leaf_reg': np.float64(1.0829391446392806), 'learning_rate': np.float64(0.08181395874489215), 'min_data_in_leaf': 19, 'random_strength': np.float64(0.44866598729172935), 'subsample': np.float64(0.7288529653274262)}",-0.2534898873871943,-0.2723870316025167,-0.2792719971586288,-0.2850939047470175,-0.2548777023516506,-0.2690241046494016,0.012774972858439,58,1215.4231193065643,5.797320127487183
22.491519975662232,5.683221773777543,0.0228682994842529,0.0066018644132988,210,0.8192716063262566,7,SymmetricTree,1278,2.7053317552512928,0.0220210281860883,23,0.6414479738275658,0.9087353198035246,"{'border_count': 210, 'colsample_bylevel': np.float64(0.8192716063262566), 'depth': 7, 'grow_policy': 'SymmetricTree', 'iterations': 1278, 'l2_leaf_reg': np.float64(2.7053317552512928), 'learning_rate': np.float64(0.02202102818608836), 'min_data_in_leaf': 23, 'random_strength': np.float64(0.6414479738275658), 'subsample': np.float64(0.9087353198035246)}",-0.2475127553265805,-0.262398614086424,-0.2756676632942771,-0.2853806143085025,-0.2523568945006962,-0.2646633083032961,0.0141493513976066,12,1215.4231193065643,5.797320127487183
4.415442562103271,1.188432883148644,0.0156620979309082,0.0034850375481682,56,0.8979952138102536,7,SymmetricTree,1071,2.304145874152045,0.1544380549636886,12,0.6582934536070976,0.9647909029568018,"{'border_count': 56, 'colsample_bylevel': np.float64(0.8979952138102536), 'depth': 7, 'grow_policy': 'SymmetricTree', 'iterations': 1071, 'l2_leaf_reg': np.float64(2.304145874152045), 'learning_rate': np.float64(0.15443805496368865), 'min_data_in_leaf': 12, 'random_strength': np.float64(0.6582934536070976), 'subsample': np.float64(0.9647909029568018)}",-0.2580965324409207,-0.2743735153005858,-0.2796152693797178,-0.2987929129827574,-0.2620893760459623,-0.2745935212299888,0.0144179138864268,95,1215.4231193065643,5.797320127487183
4.22953052520752,0.36832302340815,0.0171088218688964,0.0035048121512234,58,0.7836614057776545,8,Lossguide,903,5.4354321213255865,0.1219813318786435,24,0.9509284487675128,0.9806904982662842,"{'border_count': 58, 'colsample_bylevel': np.float64(0.7836614057776545), 'depth': 8, 'grow_policy': 'Lossguide', 'iterations': 903, 'l2_leaf_reg': np.float64(5.4354321213255865), 'learning_rate': np.float64(0.12198133187864357), 'min_data_in_leaf': 24, 'random_strength': np.float64(0.9509284487675127), 'subsample': np.float64(0.9806904982662842)}",-0.2526877102569964,-0.2625278960935094,-0.2882932228451232,-0.2860860997909875,-0.2598951695390759,-0.2698980197051385,0.0144983303881747,64,1215.4231193065643,5.797320127487183
11.422159242630006,1.3062269447950632,0.0163163185119628,0.0090487152661895,213,0.9695662565581238,9,Depthwise,726,2.8614138328087155,0.1460200163686667,25,0.1050615838462186,0.7482424154252496,"{'border_count': 213, 'colsample_bylevel': np.float64(0.9695662565581238), 'depth': 9, 'grow_policy': 'Depthwise', 'iterations': 726, 'l2_leaf_reg': np.float64(2.8614138328087155), 'learning_rate': np.float64(0.14602001636866677), 'min_data_in_leaf': 25, 'random_strength': np.float64(0.10506158384621869), 'subsample': np.float64(0.7482424154252496)}",-0.2652514764938543,-0.2691147556704487,-0.2833912661955618,-0.2948525545916314,-0.2597072085072804,-0.2744634522917553,0.0128579713638704,93,1215.4231193065643,5.797320127487183
65.75841889381408,3.925184477077432,0.0500401496887207,0.0125330096511378,131,0.845684126075868,8,SymmetricTree,1180,1.879626263386727,0.0077113045423281,14,0.4253996981592677,0.9239474215354072,"{'border_count': 131, 'colsample_bylevel': np.float64(0.845684126075868), 'depth': 8, 'grow_policy': 'SymmetricTree', 'iterations': 1180, 'l2_leaf_reg': np.float64(1.879626263386727), 'learning_rate': np.float64(0.007711304542328131), 'min_data_in_leaf': 14, 'random_strength': np.float64(0.4253996981592677), 'subsample': np.float64(0.9239474215354072)}",-0.2483211005445008,-0.2630401144601656,-0.2774039297526481,-0.2849974850383917,-0.2508940684690914,-0.2649313396529595,0.0143856696242033,13,1215.4231193065643,5.797320127487183
40.37944583892822,6.537807088474335,0.0375882148742675,0.0203481163418378,177,0.9232511569169686,8,SymmetricTree,1139,3.841543016677358,0.0190512151742138,22,0.3652023676817254,0.7731968930137251,"{'border_count': 177, 'colsample_bylevel': np.float64(0.9232511569169686), 'depth': 8, 'grow_policy': 'SymmetricTree', 'iterations': 1139, 'l2_leaf_reg': np.float64(3.841543016677358), 'learning_rate': np.float64(0.019051215174213872), 'min_data_in_leaf': 22, 'random_strength': np.float64(0.3652023676817254), 'subsample': np.float64(0.7731968930137251)}",-0.2468217268182208,-0.2624417750817835,-0.279704919380129,-0.2860632152745016,-0.2525564440140198,-0.265517616113731,0.0151683240712342,20,1215.4231193065643,5.797320127487183
9.942532587051392,1.187917180758916,0.0146877288818359,0.0036473360802139,87,0.9936678574825026,8,Depthwise,1275,4.1556931299863145,0.1242216955312472,30,0.7451033620305648,0.9006772178989298,"{'border_count': 87, 'colsample_bylevel': np.float64(0.9936678574825026), 'depth': 8, 'grow_policy': 'Depthwise', 'iterations': 1275, 'l2_leaf_reg': np.float64(4.1556931299863145), 'learning_rate': np.float64(0.12422169553124726), 'min_data_in_leaf': 30, 'random_strength': np.float64(0.7451033620305648), 'subsample': np.float64(0.9006772178989298)}",-0.2599818749456588,-0.2711840256585008,-0.284094429908743,-0.290892512443979,-0.2589226353053864,-0.2730150956524536,0.0127606330301356,86,1215.4231193065643,5.797320127487183
24.162653112411498,4.410913709888941,0.0198996067047119,0.004264513643236,246,0.7690555804724666,8,Lossguide,691,4.227361479535839,0.0315666019110573,28,0.5699445139909429,0.7838681025390275,"{'border_count': 246, 'colsample_bylevel': np.float64(0.7690555804724666), 'depth': 8, 'grow_policy': 'Lossguide', 'iterations': 691, 'l2_leaf_reg': np.float64(4.227361479535839), 'learning_rate': np.float64(0.03156660191105734), 'min_data_in_leaf': 28, 'random_strength': np.float64(0.5699445139909429), 'subsample': np.float64(0.7838681025390275)}",-0.2497607960634287,-0.2652304138930299,-0.2776174891525859,-0.2826967196512796,-0.2542179891172521,-0.2659046815755152,0.0127813994619089,25,1215.4231193065643,5.797320127487183
5.697455406188965,2.3459943700195707,0.0122991561889648,0.0021048240409654,55,0.8110476100766333,6,SymmetricTree,779,2.6537515233525686,0.0879147450253235,31,1.063619977089253,0.955902836640208,"{'border_count': 55, 'colsample_bylevel': np.float64(0.8110476100766333), 'depth': 6, 'grow_policy': 'SymmetricTree', 'iterations': 779, 'l2_leaf_reg': np.float64(2.6537515233525686), 'learning_rate': np.float64(0.0879147450253235), 'min_data_in_leaf': 31, 'random_strength': np.float64(1.063619977089253), 'subsample': np.float64(0.955902836640208)}",-0.2490556154825577,-0.2687676938458856,-0.2788683053764344,-0.2900614114031522,-0.2563197724502117,-0.2686145597116484,0.0148246031370773,53,1215.4231193065643,5.797320127487183
15.232828903198245,2.6541134221279523,0.017905569076538,0.0026001824541924,240,0.7917091057861545,6,Lossguide,627,2.8634343354702465,0.0642037200214208,3,0.6700611700893649,0.7291529481312305,"{'border_count': 240, 'colsample_bylevel': np.float64(0.7917091057861545), 'depth': 6, 'grow_policy': 'Lossguide', 'iterations': 627, 'l2_leaf_reg': np.float64(2.8634343354702465), 'learning_rate': np.float64(0.06420372002142083), 'min_data_in_leaf': 3, 'random_strength': np.float64(0.6700611700893649), 'subsample': np.float64(0.7291529481312305)}",-0.2517101310832742,-0.267547417655294,-0.2784762076567162,-0.2844284869848662,-0.2528866794245056,-0.2670097845609313,0.0131812032631335,34,1215.4231193065643,5.797320127487183
6.441752433776856,1.2420485091868911,0.0166127681732177,0.0028591379353412,81,0.9013430550472152,7,Lossguide,654,2.476452942094694,0.05338261463579,40,0.797015740995268,0.9107452251961328,"{'border_count': 81, 'colsample_bylevel': np.float64(0.9013430550472151), 'depth': 7, 'grow_policy': 'Lossguide', 'iterations': 654, 'l2_leaf_reg': np.float64(2.476452942094694), 'learning_rate': np.float64(0.053382614635790075), 'min_data_in_leaf': 40, 'random_strength': np.float64(0.797015740995268), 'subsample': np.float64(0.9107452251961328)}",-0.2509507313745991,-0.2616031119136471,-0.2813547979192891,-0.2810942646512372,-0.2523103602321883,-0.2654626532181922,0.0133819451849126,19,1215.4231193065643,5.797320127487183
